id;title;creation_date;last_edit_date;description;is_published;is_validated;is_promoted;article_type;category_id;author_id
1;Buckinghamshire;2020-08-16;2020-08-16;onlineXXXXXXXXXXXXXX;false;false;false;TUTORIAL;1;1
2;Movies compress firewall;2020-08-16;2020-08-16;visualizeXXXXXXXXXXX;true;false;true;GEEKCULTURE;2;1
3;generating;2020-08-16;2020-08-15;Principal EgyptXXXXX;true;false;false;GEEKCULTURE;3;2
4;RSS HTTP transmitting;2020-08-15;2020-08-15;static Borders Rustic;false;true;false;TUTORIAL;4;2
5;deposit user-centric Licensed;2020-08-16;2020-08-15;generating Internal Program;true;false;false;GEEKCULTURE;5;1
6;deposit;2020-08-16;2020-08-16;lime Operations alarm;true;true;false;OPINION;6;1
7;Dynamic Concrete Berkshire;2020-08-16;2020-08-16;Forward Music yellow;false;true;true;TUTORIAL;7;2
8;Right-sized synergistic Handmade;2020-08-16;2020-08-16;Chicken paradigmsXXX;true;true;true;TROUBLESHOOTING;8;1
9;time-frame Berkshire transmit;2020-08-16;2020-08-16;Programmable solutions Berkshire;true;true;false;OPINION;9;1
10;Small Plastic Shoes Savings Account;2020-08-16;2020-08-15;Movies Money Market Account;false;true;true;OPINION;10;2
